date,daypart,station,total_avails,booked,remaining
2024-10-18,EM,KIRO-TV,1,0,1
2024-10-19,EM,KIRO-TV,2,1,1
2024-10-20,EM,KIRO-TV,3,2,1
2024-10-21,EM,KIRO-TV,1,0,1
2024-10-22,EM,KIRO-TV,5,3,2
2024-10-23,EM,KIRO-TV,6,4,2
2024-10-24,EM,KIRO-TV,3,2,1
2024-10-25,EM,KIRO-TV,5,4,1
2024-10-26,EM,KIRO-TV,4,3,1
2024-10-27,EM,KIRO-TV,3,2,1
2024-10-28,EM,KIRO-TV,0,0,0
2024-10-29,EM,KIRO-TV,3,3,0
2024-10-30,EM,KIRO-TV,1,0,1
2024-10-31,EM,KIRO-TV,2,2,0
2024-11-01,EM,KIRO-TV,5,3,2
2024-11-02,EM,KIRO-TV,2,2,0
2024-11-03,EM,KIRO-TV,5,4,1
2024-11-04,EM,KIRO-TV,1,1,0
2024-11-05,EM,KIRO-TV,4,3,1
2024-11-06,EM,KIRO-TV,1,0,1
2024-11-07,EM,KIRO-TV,3,3,0
2024-11-08,EM,KIRO-TV,6,5,1
2024-11-09,EM,KIRO-TV,3,3,0
2024-11-10,EM,KIRO-TV,6,4,2
2024-11-11,EM,KIRO-TV,4,2,2
2024-11-12,EM,KIRO-TV,2,1,1
2024-11-13,EM,KIRO-TV,3,2,1
2024-11-14,EM,KIRO-TV,3,2,1
2024-11-15,EM,KIRO-TV,3,1,2
2024-11-16,EM,KIRO-TV,1,0,1
2024-11-17,EM,KIRO-TV,3,1,2
2024-11-18,EM,KIRO-TV,8,6,2
2024-11-19,EM,KIRO-TV,4,2,2
2024-11-20,EM,KIRO-TV,7,6,1
2024-11-21,EM,KIRO-TV,6,5,1
2024-11-22,EM,KIRO-TV,4,2,2
2024-11-23,EM,KIRO-TV,6,4,2
2024-11-24,EM,KIRO-TV,3,2,1
2024-11-25,EM,KIRO-TV,3,1,2
2024-11-26,EM,KIRO-TV,2,2,0
2024-11-27,EM,KIRO-TV,3,2,1
2024-11-28,EM,KIRO-TV,2,2,0
2024-11-29,EM,KIRO-TV,4,4,0
2024-11-30,EM,KIRO-TV,5,4,1
2024-12-01,EM,KIRO-TV,5,3,2
2024-12-02,EM,KIRO-TV,2,0,2
2024-12-03,EM,KIRO-TV,3,2,1
2024-12-04,EM,KIRO-TV,5,3,2
2024-12-05,EM,KIRO-TV,6,5,1
2024-12-06,EM,KIRO-TV,4,3,1
2024-12-07,EM,KIRO-TV,3,2,1
2024-12-08,EM,KIRO-TV,3,2,1
2024-12-09,EM,KIRO-TV,6,4,2
2024-12-10,EM,KIRO-TV,4,2,2
2024-12-11,EM,KIRO-TV,2,2,0
2024-12-12,EM,KIRO-TV,2,1,1
2024-12-13,EM,KIRO-TV,3,2,1
2024-12-14,EM,KIRO-TV,3,2,1
2024-12-15,EM,KIRO-TV,5,3,2
2024-12-16,EM,KIRO-TV,5,4,1
2024-12-17,EM,KIRO-TV,2,1,1
2024-12-18,EM,KIRO-TV,3,1,2
2024-12-19,EM,KIRO-TV,7,4,3
2024-12-20,EM,KIRO-TV,3,1,2
2024-12-21,EM,KIRO-TV,2,2,0
2024-12-22,EM,KIRO-TV,5,4,1
2024-12-23,EM,KIRO-TV,2,2,0
2024-12-24,EM,KIRO-TV,4,2,2
2024-12-25,EM,KIRO-TV,3,2,1
2024-12-26,EM,KIRO-TV,3,2,1
2024-12-27,EM,KIRO-TV,0,0,0
2024-12-28,EM,KIRO-TV,2,2,0
2024-12-29,EM,KIRO-TV,2,2,0
2024-12-30,EM,KIRO-TV,3,2,1
2024-12-31,EM,KIRO-TV,1,1,0
2025-01-01,EM,KIRO-TV,3,2,1
2025-01-02,EM,KIRO-TV,2,2,0
2025-01-03,EM,KIRO-TV,2,0,2
2025-01-04,EM,KIRO-TV,2,1,1
2025-01-05,EM,KIRO-TV,2,1,1
2025-01-06,EM,KIRO-TV,3,3,0
2025-01-07,EM,KIRO-TV,5,5,0
2025-01-08,EM,KIRO-TV,8,6,2
2025-01-09,EM,KIRO-TV,3,1,2
2025-01-10,EM,KIRO-TV,2,1,1
2025-01-11,EM,KIRO-TV,3,2,1
2025-01-12,EM,KIRO-TV,4,4,0
2025-01-13,EM,KIRO-TV,1,1,0
2025-01-14,EM,KIRO-TV,1,1,0
2025-01-15,EM,KIRO-TV,3,2,1
2025-01-16,EM,KIRO-TV,1,1,0
2025-01-17,EM,KIRO-TV,2,2,0
2025-01-18,EM,KIRO-TV,3,2,1
2025-01-19,EM,KIRO-TV,4,3,1
2025-01-20,EM,KIRO-TV,4,3,1
2025-01-21,EM,KIRO-TV,3,2,1
2025-01-22,EM,KIRO-TV,3,1,2
2025-01-23,EM,KIRO-TV,3,1,2
2025-01-24,EM,KIRO-TV,3,2,1
2025-01-25,EM,KIRO-TV,2,0,2
2025-01-26,EM,KIRO-TV,3,1,2
2025-01-27,EM,KIRO-TV,3,3,0
2025-01-28,EM,KIRO-TV,1,1,0
2025-01-29,EM,KIRO-TV,3,2,1
2025-01-30,EM,KIRO-TV,5,3,2
2025-01-31,EM,KIRO-TV,3,1,2
2025-02-01,EM,KIRO-TV,4,4,0
2025-02-02,EM,KIRO-TV,3,2,1
2025-02-03,EM,KIRO-TV,1,0,1
2025-02-04,EM,KIRO-TV,4,3,1
2025-02-05,EM,KIRO-TV,3,1,2
2025-02-06,EM,KIRO-TV,3,2,1
2025-02-07,EM,KIRO-TV,2,2,0
2025-02-08,EM,KIRO-TV,3,1,2
2025-02-09,EM,KIRO-TV,2,2,0
2025-02-10,EM,KIRO-TV,2,0,2
2025-02-11,EM,KIRO-TV,1,0,1
2025-02-12,EM,KIRO-TV,2,1,1
2025-02-13,EM,KIRO-TV,2,2,0
2025-02-14,EM,KIRO-TV,2,0,2
2025-02-15,EM,KIRO-TV,3,1,2
2025-02-16,EM,KIRO-TV,2,0,2
2025-02-17,EM,KIRO-TV,1,0,1
2025-02-18,EM,KIRO-TV,3,2,1
2025-02-19,EM,KIRO-TV,2,2,0
2025-02-20,EM,KIRO-TV,3,2,1
2025-02-21,EM,KIRO-TV,4,3,1
2025-02-22,EM,KIRO-TV,1,0,1
2025-02-23,EM,KIRO-TV,2,2,0
2025-02-24,EM,KIRO-TV,3,2,1
2025-02-25,EM,KIRO-TV,3,2,1
2025-02-26,EM,KIRO-TV,2,1,1
2025-02-27,EM,KIRO-TV,3,1,2
2025-02-28,EM,KIRO-TV,3,2,1
2025-03-01,EM,KIRO-TV,2,1,1
2025-03-02,EM,KIRO-TV,2,1,1
2025-03-03,EM,KIRO-TV,4,2,2
2025-03-04,EM,KIRO-TV,1,1,0
2025-03-05,EM,KIRO-TV,3,1,2
2025-03-06,EM,KIRO-TV,4,2,2
2025-03-07,EM,KIRO-TV,1,0,1
2025-03-08,EM,KIRO-TV,4,2,2
2025-03-09,EM,KIRO-TV,3,2,1
2025-03-10,EM,KIRO-TV,1,1,0
2025-03-11,EM,KIRO-TV,2,1,1
2025-03-12,EM,KIRO-TV,1,0,1
2025-03-13,EM,KIRO-TV,0,0,0
2025-03-14,EM,KIRO-TV,0,0,0
2025-03-15,EM,KIRO-TV,1,1,0
2025-03-16,EM,KIRO-TV,3,2,1
2025-03-17,EM,KIRO-TV,2,0,2
2025-03-18,EM,KIRO-TV,3,1,2
2025-03-19,EM,KIRO-TV,3,0,3
2025-03-20,EM,KIRO-TV,2,1,1
2025-03-21,EM,KIRO-TV,2,1,1
2025-03-22,EM,KIRO-TV,2,0,2
2025-03-23,EM,KIRO-TV,4,3,1
2025-03-24,EM,KIRO-TV,3,1,2
2025-03-25,EM,KIRO-TV,2,2,0
2025-03-26,EM,KIRO-TV,3,1,2
2025-03-27,EM,KIRO-TV,0,0,0
2025-03-28,EM,KIRO-TV,1,0,1
2025-03-29,EM,KIRO-TV,1,0,1
2025-03-30,EM,KIRO-TV,1,0,1
2025-03-31,EM,KIRO-TV,1,0,1
2024-01-01,DT,KIRO-TV,6,3,3
2024-01-02,DT,KIRO-TV,7,3,4
2024-01-03,DT,KIRO-TV,7,3,4
2024-01-04,DT,KIRO-TV,2,0,2
2024-01-05,DT,KIRO-TV,6,2,4
2024-01-06,DT,KIRO-TV,6,5,1
2024-01-07,DT,KIRO-TV,5,3,2
2024-01-08,DT,KIRO-TV,8,4,4
2024-01-09,DT,KIRO-TV,4,2,2
2024-01-10,DT,KIRO-TV,5,3,2
2024-01-11,DT,KIRO-TV,4,1,3
2024-01-12,DT,KIRO-TV,6,2,4
2024-01-13,DT,KIRO-TV,6,5,1
2024-01-14,DT,KIRO-TV,5,3,2
2024-01-15,DT,KIRO-TV,3,2,1
2024-01-16,DT,KIRO-TV,7,3,4
2024-01-17,DT,KIRO-TV,6,4,2
2024-01-18,DT,KIRO-TV,4,3,1
2024-01-19,DT,KIRO-TV,5,4,1
2024-01-20,DT,KIRO-TV,3,0,3
2024-01-21,DT,KIRO-TV,9,6,3
2024-01-22,DT,KIRO-TV,5,3,2
2024-01-23,DT,KIRO-TV,4,1,3
2024-01-24,DT,KIRO-TV,6,4,2
2024-01-25,DT,KIRO-TV,3,2,1
2024-01-26,DT,KIRO-TV,5,1,4
2024-01-27,DT,KIRO-TV,9,6,3
2024-01-28,DT,KIRO-TV,6,3,3
2024-01-29,DT,KIRO-TV,5,1,4
2024-01-30,DT,KIRO-TV,4,3,1
2024-01-31,DT,KIRO-TV,4,2,2
2024-02-01,DT,KIRO-TV,5,2,3
2024-02-02,DT,KIRO-TV,0,0,0
2024-02-03,DT,KIRO-TV,0,0,0
2024-02-04,DT,KIRO-TV,5,3,2
2024-02-05,DT,KIRO-TV,5,1,4
2024-02-06,DT,KIRO-TV,6,4,2
2024-02-07,DT,KIRO-TV,5,4,1
2024-02-08,DT,KIRO-TV,2,1,1
2024-02-09,DT,KIRO-TV,8,5,3
2024-02-10,DT,KIRO-TV,3,2,1
2024-02-11,DT,KIRO-TV,7,3,4
2024-02-12,DT,KIRO-TV,2,0,2
2024-02-13,DT,KIRO-TV,8,4,4
2024-02-14,DT,KIRO-TV,7,5,2
2024-02-15,DT,KIRO-TV,3,2,1
2024-02-16,DT,KIRO-TV,1,1,0
2024-02-17,DT,KIRO-TV,8,4,4
2024-02-18,DT,KIRO-TV,9,6,3
2024-02-19,DT,KIRO-TV,6,2,4
2024-02-20,DT,KIRO-TV,1,0,1
2024-02-21,DT,KIRO-TV,5,2,3
2024-02-22,DT,KIRO-TV,6,5,1
2024-02-23,DT,KIRO-TV,3,2,1
2024-02-24,DT,KIRO-TV,0,0,0
2024-02-25,DT,KIRO-TV,6,3,3
2024-02-26,DT,KIRO-TV,7,4,3
2024-02-27,DT,KIRO-TV,4,1,3
2024-02-28,DT,KIRO-TV,3,3,0
2024-02-29,DT,KIRO-TV,4,3,1
2024-03-01,DT,KIRO-TV,3,1,2
2024-03-02,DT,KIRO-TV,4,1,3
2024-03-03,DT,KIRO-TV,3,2,1
2024-03-04,DT,KIRO-TV,4,4,0
2024-03-05,DT,KIRO-TV,5,1,4
2024-03-06,DT,KIRO-TV,6,3,3
2024-03-07,DT,KIRO-TV,2,0,2
2024-03-08,DT,KIRO-TV,10,7,3
2024-03-09,DT,KIRO-TV,4,3,1
2024-03-10,DT,KIRO-TV,6,4,2
2024-03-11,DT,KIRO-TV,6,4,2
2024-03-12,DT,KIRO-TV,0,0,0
2024-03-13,DT,KIRO-TV,6,2,4
2024-03-14,DT,KIRO-TV,4,2,2
2024-03-15,DT,KIRO-TV,3,1,2
2024-03-16,DT,KIRO-TV,2,1,1
2024-03-17,DT,KIRO-TV,5,2,3
2024-03-18,DT,KIRO-TV,3,0,3
2024-03-19,DT,KIRO-TV,8,5,3
2024-03-20,DT,KIRO-TV,3,2,1
2024-03-21,DT,KIRO-TV,1,0,1
2024-03-22,DT,KIRO-TV,3,2,1
2024-03-23,DT,KIRO-TV,6,2,4
2024-03-24,DT,KIRO-TV,7,4,3
2024-03-25,DT,KIRO-TV,2,1,1
2024-03-26,DT,KIRO-TV,4,2,2
2024-03-27,DT,KIRO-TV,2,1,1
2024-03-28,DT,KIRO-TV,6,2,4
2024-03-29,DT,KIRO-TV,5,3,2
2024-03-30,DT,KIRO-TV,4,2,2
2024-03-31,DT,KIRO-TV,3,3,0
2024-04-01,DT,KIRO-TV,3,0,3
2024-04-02,DT,KIRO-TV,2,0,2
2024-04-03,DT,KIRO-TV,5,4,1
2024-04-04,DT,KIRO-TV,2,2,0
2024-04-05,DT,KIRO-TV,2,1,1
2024-04-06,DT,KIRO-TV,2,1,1
2024-04-07,DT,KIRO-TV,4,2,2
2024-04-08,DT,KIRO-TV,3,1,2
2024-04-09,DT,KIRO-TV,7,4,3
2024-04-10,DT,KIRO-TV,4,2,2
2024-04-11,DT,KIRO-TV,6,4,2
2024-04-12,DT,KIRO-TV,2,1,1
2024-04-13,DT,KIRO-TV,10,5,5
2024-04-14,DT,KIRO-TV,6,2,4
2024-04-15,DT,KIRO-TV,4,3,1
2024-04-16,DT,KIRO-TV,3,0,3
2024-04-17,DT,KIRO-TV,4,4,0
2024-04-18,DT,KIRO-TV,8,5,3
2024-04-19,DT,KIRO-TV,8,4,4
2024-04-20,DT,KIRO-TV,1,0,1
2024-04-21,DT,KIRO-TV,7,3,4
2024-04-22,DT,KIRO-TV,5,1,4
2024-04-23,DT,KIRO-TV,3,1,2
2024-04-24,DT,KIRO-TV,1,0,1
2024-04-25,DT,KIRO-TV,4,3,1
2024-04-26,DT,KIRO-TV,3,0,3
2024-04-27,DT,KIRO-TV,7,4,3
2024-04-28,DT,KIRO-TV,2,0,2
2024-04-29,DT,KIRO-TV,4,3,1
2024-04-30,DT,KIRO-TV,2,0,2
2024-05-01,DT,KIRO-TV,2,0,2
2024-05-02,DT,KIRO-TV,6,3,3
2024-05-03,DT,KIRO-TV,1,0,1
2024-05-04,DT,KIRO-TV,2,1,1
