spot_id,order_id,air_date,air_time,daypart,program,length,rate,status,station
SP-100036,WO-01001,2024-01-08,19:27:00,PA,Wheel of Fortune,15,136.18,aired,KNDO-TV
SP-100037,WO-01001,2024-02-01,20:11:00,PR,The Voice,30,399.69,aired,KNDO-TV
SP-100038,WO-01001,2024-01-05,23:12:00,LN,Late News at 11,30,200.67,aired,KNDO-TV
SP-100039,WO-01001,2024-03-03,01:13:00,LF,Jimmy Kimmel Live,30,63.7,aired,KNDO-TV
SP-100040,WO-01001,2024-01-10,18:38:00,PA,Wheel of Fortune,30,210.94,aired,KNDO-TV
SP-100041,WO-01001,2024-01-06,23:01:00,LN,Late News at 11,15,116.36,aired,KNDO-TV
SP-100042,WO-01001,2024-01-03,01:06:00,LF,Jimmy Kimmel Live,15,36.36,aired,KNDO-TV
SP-100043,WO-01001,2024-02-19,21:14:00,PR,FBI,30,360.67,aired,KNDO-TV
SP-100044,WO-01001,2024-01-30,18:11:00,EN,Evening News at 6,30,255.07,aired,KNDO-TV
SP-100045,WO-01001,2024-02-28,08:04:00,EM,NW Morning News,30,113.97,aired,KNDO-TV
SP-100046,WO-01001,2024-03-01,08:17:00,EM,Sunrise Edition,30,130.18,aired,KNDO-TV
SP-100047,WO-01001,2024-03-03,17:10:00,EN,Evening News at 5,30,286.4,aired,KNDO-TV
SP-100048,WO-01001,2024-01-20,19:25:00,PA,Jeopardy!,30,204.38,aired,KNDO-TV
SP-100049,WO-01001,2024-02-17,17:55:00,EN,Evening News at 6,30,240.99,aired,KNDO-TV
SP-100050,WO-01001,2024-01-04,19:06:00,PA,Access Hollywood,30,237.76,aired,KNDO-TV
SP-100051,WO-01001,2024-02-21,19:39:00,PA,Wheel of Fortune,15,128.82,aired,KNDO-TV
SP-100052,WO-01001,2024-03-07,23:16:00,LN,News Tonight,30,220.64,aired,KNDO-TV
SP-100053,WO-01001,2024-02-03,08:52:00,EM,Sunrise Edition,30,135.71,aired,KNDO-TV
SP-100054,WO-01001,2024-01-29,12:36:00,DT,The Price Is Right,30,93.28,aired,KNDO-TV
SP-100055,WO-01001,2024-02-02,22:54:00,PR,Sunday Night Football,30,414.77,aired,KNDO-TV
SP-100056,WO-01001,2024-01-10,23:03:00,LN,News Tonight,30,206.94,aired,KNDO-TV
SP-100057,WO-01001,2024-02-20,01:17:00,LF,The Tonight Show,30,60.03,aired,KNDO-TV
SP-100058,WO-01001,2024-03-07,23:05:00,LN,Late News at 11,30,209.67,aired,KNDO-TV
SP-100059,WO-01001,2024-01-29,23:10:00,LN,News Tonight,30,210.23,aired,KNDO-TV
SP-100060,WO-01001,2024-01-11,16:45:00,EF,Hot Bench,15,72.29,aired,KNDO-TV
SP-100061,WO-01001,2024-01-20,17:31:00,EN,Evening News at 5,30,253.52,aired,KNDO-TV
SP-100062,WO-01001,2024-01-01,15:55:00,DT,Let's Make a Deal,30,99.14,aired,KNDO-TV
SP-100063,WO-01001,2024-03-05,18:59:00,PA,Wheel of Fortune,30,207.07,aired,KNDO-TV
SP-100064,WO-01001,2024-03-05,00:38:00,LF,Nightline,60,101.69,aired,KNDO-TV
SP-100065,WO-01001,2024-02-25,16:57:00,EF,Judge Judy,30,146.45,aired,KNDO-TV
SP-100066,WO-01001,2024-01-13,19:15:00,PA,Access Hollywood,30,218.14,aired,KNDO-TV
SP-100067,WO-01002,2024-01-06,16:50:00,EF,Hot Bench,30,160.65,aired,KULR-TV
SP-100068,WO-01002,2024-02-13,12:30:00,DT,NW Living,15,73.91,aired,KULR-TV
SP-100069,WO-01002,2024-01-14,14:56:00,DT,Local Hour,30,134.4,aired,KULR-TV
SP-100070,WO-01002,2024-03-14,23:04:00,LN,News Tonight,30,285.82,aired,KULR-TV
SP-100071,WO-01002,2024-02-25,17:41:00,EN,Evening News at 6,60,697.18,aired,KULR-TV
SP-100072,WO-01002,2024-03-06,13:35:00,DT,Let's Make a Deal,15,76.61,aired,KULR-TV
SP-100073,WO-01002,2024-02-06,22:46:00,PR,NCIS,30,486.95,aired,KULR-TV
SP-100074,WO-01002,2024-01-12,19:10:00,PA,Wheel of Fortune,30,275.4,aired,KULR-TV
SP-100075,WO-01002,2024-02-01,07:25:00,EM,Morning Report,15,99.11,aired,KULR-TV
SP-100076,WO-01002,2024-03-05,16:43:00,EF,Hot Bench,15,121.64,aired,KULR-TV
SP-100077,WO-01002,2024-01-20,13:33:00,DT,The Talk,30,136.77,aired,KULR-TV
SP-100078,WO-01002,2024-01-11,20:48:00,PR,Chicago Fire,30,560.96,aired,KULR-TV
SP-100079,WO-01002,2024-02-04,09:58:00,DT,The Talk,30,143.6,aired,KULR-TV
SP-100080,WO-01002,2024-01-22,07:16:00,EM,Morning Report,30,144.63,aired,KULR-TV
SP-100081,WO-01002,2024-02-27,06:19:00,EM,NW Morning News,30,182.41,aired,KULR-TV
SP-100082,WO-01002,2024-01-30,19:38:00,PA,Access Hollywood,30,291.01,aired,KULR-TV
SP-100083,WO-01002,2024-01-12,06:03:00,EM,Sunrise Edition,30,152.06,aired,KULR-TV
SP-100084,WO-01002,2024-01-08,23:03:00,LN,News Tonight,60,495.01,aired,KULR-TV
SP-100085,WO-01002,2024-01-19,14:20:00,DT,The Talk,30,138.28,aired,KULR-TV
SP-100086,WO-01002,2024-03-11,19:58:00,PA,Access Hollywood,30,281.18,aired,KULR-TV
SP-100087,WO-01002,2024-02-10,17:13:00,EN,Evening News at 5,30,382.52,preempted,KULR-TV
SP-100088,WO-01002,2024-02-04,17:09:00,EN,Evening News at 6,30,315.49,aired,KULR-TV
SP-100089,WO-01002,2024-01-23,07:25:00,EM,Morning Report,30,164.06,aired,KULR-TV
SP-100090,WO-01002,2024-01-07,21:38:00,PR,FBI,60,973.14,aired,KULR-TV
SP-100091,WO-01002,2024-03-15,23:09:00,LN,Late News at 11,30,241.2,aired,KULR-TV
SP-100092,WO-01002,2024-01-22,07:14:00,EM,AM Northwest,30,155.8,aired,KULR-TV
SP-100093,WO-01002,2024-01-18,10:18:00,DT,The Price Is Right,30,130.71,aired,KULR-TV
SP-100094,WO-01002,2024-01-16,01:18:00,LF,Nightline,30,74.56,aired,KULR-TV
SP-100095,WO-01002,2024-02-08,19:01:00,PA,Entertainment Tonight,30,341.55,aired,KULR-TV
SP-100096,WO-01002,2024-01-28,09:42:00,DT,Local Hour,30,140.38,aired,KULR-TV
SP-100097,WO-01002,2024-02-02,11:23:00,DT,Local Hour,30,121.77,aired,KULR-TV
SP-100098,WO-01002,2024-01-19,22:02:00,PR,The Voice,30,565.19,aired,KULR-TV
SP-100099,WO-01002,2024-01-18,21:49:00,PR,FBI,15,295.67,aired,KULR-TV
SP-100100,WO-01002,2024-01-26,19:17:00,PA,Wheel of Fortune,30,289.66,aired,KULR-TV
SP-100101,WO-01002,2024-02-04,01:03:00,LF,Late Show,30,84.44,aired,KULR-TV
SP-100102,WO-01002,2024-01-04,19:55:00,PA,Wheel of Fortune,30,290.79,makegood,KULR-TV
SP-100103,WO-01002,2024-01-27,16:16:00,EF,People's Court,30,188.48,aired,KULR-TV
SP-100104,WO-01002,2024-01-26,17:30:00,EN,Evening News at 5,30,361.87,aired,KULR-TV
SP-100105,WO-01002,2024-01-23,18:08:00,EN,Evening News at 6,60,671.08,aired,KULR-TV
SP-100106,WO-01002,2024-02-10,15:31:00,DT,The Talk,15,82.26,aired,KULR-TV
SP-100107,WO-01002,2024-02-06,08:41:00,EM,AM Northwest,30,163.23,aired,KULR-TV
SP-100108,WO-01002,2024-01-24,16:04:00,EF,People's Court,30,212.34,aired,KULR-TV
SP-100109,WO-01002,2024-01-03,20:16:00,PR,The Voice,30,573.34,aired,KULR-TV
SP-100110,WO-01002,2024-03-01,08:24:00,EM,Sunrise Edition,15,90.99,aired,KULR-TV
SP-100111,WO-01002,2024-03-15,17:37:00,EN,Evening News at 6,30,376.59,aired,KULR-TV
SP-100112,WO-01002,2024-01-30,22:33:00,PR,FBI,15,326.79,aired,KULR-TV
SP-100113,WO-01002,2024-03-10,19:08:00,PA,Jeopardy!,30,298.05,aired,KULR-TV
SP-100114,WO-01002,2024-01-20,21:07:00,PR,NCIS,30,621.0,aired,KULR-TV
SP-100115,WO-01002,2024-02-11,23:14:00,LN,Late News at 11,15,163.27,aired,KULR-TV
SP-100116,WO-01002,2024-02-29,21:29:00,PR,Sunday Night Football,15,314.89,aired,KULR-TV
SP-100117,WO-01002,2024-02-12,06:30:00,EM,Morning Report,15,106.99,aired,KULR-TV
SP-100118,WO-01002,2024-03-11,18:24:00,EN,Evening News at 5,30,330.8,aired,KULR-TV
SP-100119,WO-01002,2024-01-26,19:23:00,PA,Jeopardy!,15,173.01,aired,KULR-TV
SP-100120,WO-01002,2024-01-20,09:29:00,DT,The Price Is Right,30,123.38,aired,KULR-TV
SP-100121,WO-01002,2024-01-20,06:33:00,EM,NW Morning News,30,151.51,aired,KULR-TV
SP-100122,WO-01002,2024-02-03,12:17:00,DT,NW Living,30,149.05,aired,KULR-TV
SP-100123,WO-01002,2024-02-28,18:23:00,EN,Evening News at 5:30,30,403.65,aired,KULR-TV
SP-100124,WO-01002,2024-03-13,17:30:00,EN,Evening News at 5,30,320.74,aired,KULR-TV
SP-100125,WO-01002,2024-01-24,10:19:00,DT,The Price Is Right,15,81.34,aired,KULR-TV
SP-100126,WO-01002,2024-01-06,23:20:00,LN,Late News at 11,30,310.5,aired,KULR-TV
SP-100127,WO-01002,2024-02-03,23:48:00,LF,Late Show,60,125.5,aired,KULR-TV
SP-100128,WO-01002,2024-01-11,14:57:00,DT,The Talk,30,140.93,aired,KULR-TV
SP-100129,WO-01002,2024-03-04,23:43:00,LF,The Tonight Show,30,81.24,aired,KULR-TV
SP-100130,WO-01002,2024-01-15,08:05:00,EM,NW Morning News,30,159.21,aired,KULR-TV
SP-100131,WO-01002,2024-02-22,00:52:00,LF,Late Show,15,48.95,aired,KULR-TV
SP-100132,WO-01002,2024-03-14,00:18:00,LF,Nightline,60,150.9,aired,KULR-TV
SP-100133,WO-01002,2024-02-24,07:17:00,EM,Morning Report,30,174.7,aired,KULR-TV
SP-100134,WO-01002,2024-01-08,21:19:00,PR,NCIS,30,540.49,aired,KULR-TV
SP-100135,WO-01002,2024-01-07,01:19:00,LF,Late Show,15,48.96,aired,KULR-TV
SP-100136,WO-01002,2024-02-27,01:00:00,LF,Jimmy Kimmel Live,15,49.51,aired,KULR-TV
SP-100137,WO-01002,2024-02-23,00:06:00,LF,The Tonight Show,15,49.68,aired,KULR-TV
SP-100138,WO-01002,2024-01-15,19:50:00,PA,Jeopardy!,15,165.03,aired,KULR-TV
SP-100139,WO-01002,2024-02-07,08:39:00,EM,Morning Report,15,90.18,aired,KULR-TV
SP-100140,WO-01003,2024-01-06,21:33:00,PR,NCIS,30,317.88,aired,KWYB-TV
SP-100141,WO-01003,2024-01-07,19:44:00,PA,Wheel of Fortune,30,158.37,aired,KWYB-TV
SP-100142,WO-01003,2024-01-02,16:17:00,EF,Hot Bench,30,100.62,aired,KWYB-TV
SP-100143,WO-01003,2024-01-07,16:50:00,EF,Inside Edition,30,107.55,aired,KWYB-TV
SP-100144,WO-01003,2024-01-03,06:47:00,EM,Morning Report,60,141.8,aired,KWYB-TV
SP-100145,WO-01003,2024-01-05,21:15:00,PR,FBI,30,292.81,aired,KWYB-TV
SP-100146,WO-01003,2024-01-03,06:24:00,EM,AM Northwest,30,90.3,aired,KWYB-TV
SP-100147,WO-01003,2024-01-03,07:40:00,EM,Sunrise Edition,30,90.89,aired,KWYB-TV
SP-100148,WO-01003,2024-01-04,22:11:00,PR,Sunday Night Football,30,319.76,aired,KWYB-TV
SP-100149,WO-01003,2024-01-07,01:17:00,LF,Jimmy Kimmel Live,30,42.8,aired,KWYB-TV
SP-100150,WO-01003,2024-01-04,22:33:00,PR,Law & Order,30,282.33,aired,KWYB-TV
SP-100151,WO-01003,2024-01-06,18:19:00,EN,Evening News at 5:30,30,209.76,aired,KWYB-TV
SP-100152,WO-01003,2024-01-05,18:14:00,EN,Evening News at 5,30,210.94,aired,KWYB-TV
SP-100153,WO-01003,2024-01-05,18:22:00,EN,Evening News at 6,30,196.28,aired,KWYB-TV
SP-100154,WO-01003,2024-01-03,16:31:00,EF,People's Court,30,112.68,aired,KWYB-TV
SP-100155,WO-01004,2024-01-08,17:00:00,EN,Evening News at 5:30,30,242.83,aired,KNDO-TV
SP-100156,WO-01004,2024-01-03,12:31:00,DT,NW Living,30,106.53,aired,KNDO-TV
SP-100157,WO-01004,2024-01-10,23:26:00,LN,News Tonight,15,109.98,aired,KNDO-TV
SP-100158,WO-01004,2024-01-08,19:37:00,PA,Jeopardy!,30,250.75,aired,KNDO-TV
SP-100159,WO-01004,2024-01-13,15:49:00,DT,Let's Make a Deal,30,105.14,aired,KNDO-TV
SP-100160,WO-01004,2024-01-02,21:10:00,PR,Chicago Fire,30,376.38,aired,KNDO-TV
SP-100161,WO-01004,2024-01-11,23:04:00,LN,Late News at 11,30,200.64,aired,KNDO-TV
SP-100162,WO-01004,2024-01-13,15:30:00,DT,The Young and the Restless,30,95.59,aired,KNDO-TV
SP-100163,WO-01004,2024-01-04,14:18:00,DT,Let's Make a Deal,15,64.59,aired,KNDO-TV
SP-100164,WO-01004,2024-01-05,08:45:00,EM,Sunrise Edition,60,190.55,aired,KNDO-TV
SP-100165,WO-01004,2024-01-06,07:18:00,EM,Morning Report,15,61.97,aired,KNDO-TV
SP-100166,WO-01004,2024-01-03,22:04:00,PR,NCIS,30,367.42,aired,KNDO-TV
SP-100167,WO-01004,2024-01-07,00:33:00,LF,Nightline,30,63.61,aired,KNDO-TV
SP-100168,WO-01004,2024-01-11,06:34:00,EM,Sunrise Edition,15,67.85,aired,KNDO-TV
SP-100169,WO-01004,2024-01-02,20:49:00,PR,Law & Order,30,344.25,aired,KNDO-TV
SP-100170,WO-01004,2024-01-02,07:11:00,EM,Sunrise Edition,30,107.49,aired,KNDO-TV
SP-100171,WO-01004,2024-01-06,19:23:00,PA,Access Hollywood,30,211.49,aired,KNDO-TV
SP-100172,WO-01004,2024-01-13,20:06:00,PR,The Voice,30,455.22,aired,KNDO-TV
SP-100173,WO-01004,2024-01-11,17:12:00,EN,Evening News at 5:30,30,302.74,aired,KNDO-TV
SP-100174,WO-01005,2024-01-09,13:15:00,DT,Local Hour,60,248.37,aired,KULR-TV
SP-100175,WO-01005,2024-01-09,08:47:00,EM,AM Northwest,30,149.41,aired,KULR-TV
SP-100176,WO-01005,2024-01-08,16:49:00,EF,People's Court,30,183.31,aired,KULR-TV
SP-100177,WO-01005,2024-01-09,23:17:00,LN,News Tonight,30,261.29,aired,KULR-TV
SP-100178,WO-01005,2024-01-07,18:24:00,EN,Evening News at 6,30,353.52,aired,KULR-TV
SP-100179,WO-01005,2024-01-05,22:36:00,PR,Survivor,30,485.59,aired,KULR-TV
SP-100180,WO-01005,2024-01-05,20:26:00,PR,Law & Order,30,509.64,aired,KULR-TV
SP-100181,WO-01005,2024-01-04,11:47:00,DT,The Price Is Right,30,135.17,aired,KULR-TV
SP-100182,WO-01006,2024-01-12,00:51:00,LF,The Tonight Show,60,101.64,aired,KNDO-TV
SP-100183,WO-01006,2024-01-12,00:29:00,LF,The Tonight Show,30,60.19,aired,KNDO-TV
SP-100184,WO-01006,2024-01-14,23:18:00,LN,Late News at 11,30,206.22,aired,KNDO-TV
SP-100185,WO-01006,2024-01-11,22:54:00,PR,NCIS,30,429.82,aired,KNDO-TV
SP-100186,WO-01006,2024-01-14,20:43:00,PR,FBI,30,344.25,aired,KNDO-TV
SP-100187,WO-01006,2024-01-14,22:04:00,PR,60 Minutes,30,413.06,aired,KNDO-TV
SP-100188,WO-01006,2024-01-11,22:26:00,PR,NCIS,30,454.3,aired,KNDO-TV
SP-100189,WO-01007,2024-03-24,17:32:00,EN,Evening News at 5,30,466.41,aired,KHQ-TV
SP-100190,WO-01007,2024-02-14,08:50:00,EM,NW Morning News,30,216.09,aired,KHQ-TV
SP-100191,WO-01007,2024-04-18,06:32:00,EM,Morning Report,15,140.21,aired,KHQ-TV
SP-100192,WO-01007,2024-04-24,22:36:00,PR,The Voice,30,837.67,aired,KHQ-TV
SP-100193,WO-01007,2024-04-12,00:56:00,LF,Nightline,30,118.5,aired,KHQ-TV
SP-100194,WO-01007,2024-03-02,06:30:00,EM,NW Morning News,30,248.4,aired,KHQ-TV
SP-100195,WO-01007,2024-02-21,19:44:00,PA,Wheel of Fortune,15,221.88,aired,KHQ-TV
SP-100196,WO-01007,2024-03-17,22:58:00,PR,Sunday Night Football,30,665.25,aired,KHQ-TV
SP-100197,WO-01007,2024-04-12,23:08:00,LN,Late News at 11,30,388.88,aired,KHQ-TV
SP-100198,WO-01007,2024-04-15,19:40:00,PA,Access Hollywood,30,425.94,aired,KHQ-TV
SP-100199,WO-01007,2024-01-30,22:07:00,PR,Law & Order,30,802.71,aired,KHQ-TV
SP-100200,WO-01007,2024-03-23,21:22:00,PR,Survivor,30,741.05,aired,KHQ-TV
SP-100201,WO-01007,2024-03-22,23:34:00,LN,Late News at 11,15,237.3,aired,KHQ-TV
SP-100202,WO-01007,2024-04-17,11:31:00,DT,The Young and the Restless,15,105.74,aired,KHQ-TV
SP-100203,WO-01007,2024-03-15,01:58:00,LF,The Tonight Show,30,91.8,aired,KHQ-TV
SP-100204,WO-01007,2024-02-08,06:14:00,EM,Sunrise Edition,15,125.81,aired,KHQ-TV
SP-100205,WO-01007,2024-04-02,23:18:00,LN,News Tonight,30,412.58,aired,KHQ-TV
SP-100206,WO-01007,2024-03-25,06:18:00,EM,Sunrise Edition,30,230.44,aired,KHQ-TV
SP-100207,WO-01007,2024-03-10,09:37:00,DT,The Young and the Restless,15,91.8,aired,KHQ-TV
SP-100208,WO-01007,2024-02-26,08:23:00,EM,Sunrise Edition,15,136.93,aired,KHQ-TV
SP-100209,WO-01007,2024-03-02,17:59:00,EN,Evening News at 5:30,30,472.3,aired,KHQ-TV
SP-100210,WO-01007,2024-03-13,16:07:00,EF,Judge Judy,30,255.54,aired,KHQ-TV
SP-100211,WO-01007,2024-02-18,14:19:00,DT,The Young and the Restless,30,174.66,aired,KHQ-TV
SP-100212,WO-01007,2024-03-11,17:34:00,EN,Evening News at 5,15,252.4,aired,KHQ-TV
SP-100213,WO-01007,2024-04-28,18:12:00,EN,Evening News at 6,30,518.93,aired,KHQ-TV
SP-100214,WO-01007,2024-03-18,22:02:00,PR,NCIS,15,496.8,aired,KHQ-TV
SP-100215,WO-01007,2024-02-04,23:15:00,LN,News Tonight,30,308.84,aired,KHQ-TV
SP-100216,WO-01007,2024-03-22,22:11:00,PR,Chicago Fire,30,692.94,makegood,KHQ-TV
SP-100217,WO-01007,2024-04-18,10:27:00,DT,The Young and the Restless,30,193.7,aired,KHQ-TV
SP-100218,WO-01007,2024-03-17,16:16:00,EF,People's Court,30,227.86,aired,KHQ-TV
SP-100219,WO-01007,2024-02-25,01:12:00,LF,Nightline,30,102.0,aired,KHQ-TV
SP-100220,WO-01007,2024-04-23,08:13:00,EM,Sunrise Edition,30,229.59,aired,KHQ-TV
SP-100221,WO-01007,2024-04-06,17:11:00,EN,Evening News at 5,30,552.03,aired,KHQ-TV
SP-100222,WO-01007,2024-04-08,01:14:00,LF,Nightline,30,118.43,aired,KHQ-TV
SP-100223,WO-01007,2024-03-03,01:03:00,LF,The Tonight Show,15,67.21,aired,KHQ-TV
SP-100224,WO-01007,2024-04-08,17:22:00,EN,Evening News at 5:30,30,540.85,aired,KHQ-TV
SP-100225,WO-01007,2024-02-04,20:13:00,PR,60 Minutes,30,716.75,aired,KHQ-TV
SP-100226,WO-01007,2024-02-27,18:13:00,EN,Evening News at 5:30,30,463.94,aired,KHQ-TV
SP-100227,WO-01007,2024-03-30,22:52:00,PR,FBI,15,412.2,aired,KHQ-TV
SP-100228,WO-01007,2024-04-01,07:34:00,EM,AM Northwest,30,227.64,aired,KHQ-TV
SP-100229,WO-01007,2024-02-10,14:53:00,DT,Let's Make a Deal,30,167.68,makegood,KHQ-TV
SP-100230,WO-01007,2024-04-07,19:25:00,PA,Access Hollywood,30,449.8,aired,KHQ-TV
SP-100231,WO-01007,2024-02-09,15:09:00,DT,The Talk,30,173.94,aired,KHQ-TV
SP-100232,WO-01007,2024-03-18,20:00:00,PR,Law & Order,30,635.76,aired,KHQ-TV
SP-100233,WO-01007,2024-02-28,16:28:00,EF,Hot Bench,30,258.03,aired,KHQ-TV
SP-100234,WO-01007,2024-03-06,23:03:00,LN,News Tonight,30,356.65,aired,KHQ-TV
SP-100235,WO-01007,2024-03-26,23:22:00,LN,News Tonight,60,600.55,aired,KHQ-TV
SP-100236,WO-01007,2024-03-06,18:48:00,PA,Jeopardy!,30,411.63,aired,KHQ-TV
SP-100237,WO-01007,2024-04-23,20:55:00,PR,Chicago Fire,60,1448.69,aired,KHQ-TV
SP-100238,WO-01007,2024-02-26,15:46:00,DT,The Price Is Right,30,190.54,aired,KHQ-TV
SP-100239,WO-01007,2024-04-03,19:48:00,PA,Wheel of Fortune,30,467.67,aired,KHQ-TV
SP-100240,WO-01007,2024-02-29,10:05:00,DT,The Talk,30,199.71,preempted,KHQ-TV
SP-100241,WO-01007,2024-04-03,23:27:00,LN,News Tonight,30,404.04,aired,KHQ-TV
SP-100242,WO-01007,2024-03-24,23:02:00,LN,Late News at 11,30,378.23,aired,KHQ-TV
SP-100243,WO-01007,2024-03-03,00:24:00,LF,Nightline,30,112.41,aired,KHQ-TV
SP-100244,WO-01007,2024-04-04,23:30:00,LN,News Tonight,30,341.01,aired,KHQ-TV
SP-100245,WO-01007,2024-02-06,01:47:00,LF,The Tonight Show,30,91.8,aired,KHQ-TV
SP-100246,WO-01007,2024-02-10,14:42:00,DT,NW Living,30,185.71,aired,KHQ-TV
SP-100247,WO-01007,2024-02-28,00:53:00,LF,Jimmy Kimmel Live,60,194.37,aired,KHQ-TV
SP-100248,WO-01007,2024-02-07,19:39:00,PA,Wheel of Fortune,30,383.42,aired,KHQ-TV
SP-100249,WO-01007,2024-02-29,18:01:00,EN,Evening News at 5,30,443.17,aired,KHQ-TV
SP-100250,WO-01007,2024-04-21,18:39:00,PA,Jeopardy!,30,442.77,aired,KHQ-TV
SP-100251,WO-01007,2024-02-28,16:50:00,EF,Judge Judy,30,272.59,aired,KHQ-TV
SP-100252,WO-01007,2024-02-17,13:33:00,DT,Let's Make a Deal,30,196.45,aired,KHQ-TV
SP-100253,WO-01007,2024-04-13,10:21:00,DT,The Price Is Right,15,138.0,aired,KHQ-TV
SP-100254,WO-01007,2024-02-14,07:50:00,EM,Morning Report,30,248.4,aired,KHQ-TV
SP-100255,WO-01007,2024-02-05,19:37:00,PA,Wheel of Fortune,30,373.13,aired,KHQ-TV
SP-100256,WO-01007,2024-02-17,23:21:00,LN,News Tonight,15,204.31,aired,KHQ-TV
SP-100257,WO-01007,2024-03-19,22:36:00,PR,NCIS,30,702.05,aired,KHQ-TV
SP-100258,WO-01007,2024-04-16,19:58:00,PA,Jeopardy!,30,477.18,aired,KHQ-TV
SP-100259,WO-01007,2024-02-21,17:25:00,EN,Evening News at 6,30,452.98,aired,KHQ-TV
SP-100260,WO-01007,2024-03-18,17:09:00,EN,Evening News at 5,30,468.92,aired,KHQ-TV
SP-100261,WO-01007,2024-04-19,12:25:00,DT,The Young and the Restless,30,206.76,aired,KHQ-TV
SP-100262,WO-01007,2024-04-09,23:33:00,LN,Late News at 11,30,424.16,aired,KHQ-TV
SP-100263,WO-01007,2024-03-05,11:27:00,DT,The Young and the Restless,30,165.34,aired,KHQ-TV
SP-100264,WO-01007,2024-03-07,20:25:00,PR,The Voice,30,828.0,aired,KHQ-TV
SP-100265,WO-01007,2024-03-04,21:24:00,PR,60 Minutes,30,721.63,aired,KHQ-TV
SP-100266,WO-01007,2024-02-12,19:58:00,PA,Jeopardy!,15,273.24,preempted,KHQ-TV
SP-100267,WO-01007,2024-02-15,23:20:00,LN,News Tonight,30,343.18,aired,KHQ-TV
