order_id,advertiser_name,agency_name,order_date,start_date,end_date,order_total,station
WO-01018,Pacific Auto Group,Northwest Ad Works,2024-08-06,2024-08-11,2024-09-07,32920.68,KIRO-TV
WO-01019,Pacific Auto Group,Northwest Ad Works,2024-07-16,2024-08-09,2024-11-07,71194.65,KREM-TV
WO-01020,Pacific Auto Group,Northwest Ad Works,2024-08-17,2024-09-08,2024-12-07,134840.55,KIRO-TV
WO-01021,Pacific Auto Group,Northwest Ad Works,2024-09-09,2024-09-25,2024-11-19,77800.83,KIRO-TV
WO-01022,Pacific Auto Group,Northwest Ad Works,2024-10-02,2024-10-06,2024-11-30,57675.94,KREM-TV
WO-01023,Pacific Auto Group,Northwest Ad Works,2024-10-03,2024-10-29,2024-12-23,90461.99,KIRO-TV
WO-01024,Pacific Auto Group,Northwest Ad Works,2024-10-29,2024-11-18,2025-01-12,93052.25,KIRO-TV
WO-01025,Pacific Auto Group,Northwest Ad Works,2024-11-11,2024-12-05,2024-12-11,7580.25,KIRO-TV
WO-01026,Pacific Auto Group,Northwest Ad Works,2024-12-01,2024-12-15,2025-01-11,18762.06,KREM-TV
WO-01027,Pacific Auto Group,Northwest Ad Works,2024-12-03,2025-01-02,2025-01-29,8185.1,KREM-TV
WO-01028,Pacific Auto Group,Northwest Ad Works,2024-12-28,2024-12-30,2025-03-30,29568.69,KAPP-TV
WO-01029,Pacific Auto Group,Northwest Ad Works,2024-12-16,2024-12-30,2025-03-30,15056.48,KAPP-TV
WO-01030,Pacific Auto Group,Northwest Ad Works,2025-01-10,2025-02-03,2025-03-30,34787.45,KIRO-TV
WO-01031,Pacific Auto Group,Northwest Ad Works,2025-02-18,2025-03-03,2025-03-30,26266.3,KIRO-TV
WO-01032,Columbia Health Systems,DNA Agency,2023-11-30,2023-12-05,2024-03-04,64796.69,KIRO-TV
WO-01033,Columbia Health Systems,DNA Agency,2023-09-30,2023-10-15,2024-01-13,8273.63,KIRO-TV
WO-01034,Columbia Health Systems,DNA Agency,2023-10-04,2023-10-16,2024-01-14,12680.13,KIRO-TV
WO-01035,Columbia Health Systems,DNA Agency,2023-11-08,2023-11-27,2024-02-25,71490.01,KIRO-TV
WO-01038,Columbia Health Systems,DNA Agency,2023-12-24,2024-01-01,2024-03-31,98088.57,KIRO-TV
WO-01039,Columbia Health Systems,DNA Agency,2024-01-13,2024-01-21,2024-02-17,13248.01,KREM-TV
WO-01040,Columbia Health Systems,DNA Agency,2024-01-23,2024-02-01,2024-05-01,90962.28,KIRO-TV
WO-01041,Columbia Health Systems,DNA Agency,2024-02-14,2024-02-18,2024-04-13,16489.0,KAPP-TV
WO-01042,Columbia Health Systems,DNA Agency,2024-02-15,2024-02-25,2024-04-20,36417.77,KIRO-TV
WO-01043,Columbia Health Systems,DNA Agency,2024-02-08,2024-02-22,2024-04-17,28957.5,KIRO-TV
WO-01044,Columbia Health Systems,DNA Agency,2024-02-21,2024-03-14,2024-06-12,53984.67,KREM-TV
WO-01045,Columbia Health Systems,DNA Agency,2024-03-26,2024-03-31,2024-04-27,34088.14,KIRO-TV
WO-01046,Columbia Health Systems,DNA Agency,2024-04-09,2024-04-12,2024-06-06,50548.88,KIRO-TV
WO-01047,Columbia Health Systems,DNA Agency,2024-04-01,2024-04-07,2024-07-06,76408.54,KIRO-TV
WO-01048,Columbia Health Systems,DNA Agency,2024-05-02,2024-05-07,2024-07-01,50345.79,KIRO-TV
WO-01049,Columbia Health Systems,DNA Agency,2024-04-24,2024-05-18,2024-05-31,5688.62,KAPP-TV
WO-01050,Columbia Health Systems,DNA Agency,2024-05-23,2024-06-10,2024-06-23,8929.93,KREM-TV
WO-01051,Columbia Health Systems,DNA Agency,2024-06-02,2024-06-11,2024-08-05,62524.88,KIRO-TV
WO-01052,Columbia Health Systems,DNA Agency,2024-06-04,2024-06-19,2024-06-25,3629.97,KREM-TV
WO-01053,Columbia Health Systems,DNA Agency,2024-06-12,2024-06-21,2024-06-27,2514.33,KREM-TV
WO-01054,Columbia Health Systems,DNA Agency,2024-06-14,2024-07-13,2024-09-06,54019.48,KIRO-TV
WO-01055,Columbia Health Systems,DNA Agency,2024-07-02,2024-07-27,2024-09-20,50307.7,KIRO-TV
WO-01056,Columbia Health Systems,DNA Agency,2024-07-25,2024-08-10,2024-09-06,32413.11,KIRO-TV
WO-01057,Columbia Health Systems,DNA Agency,2024-07-27,2024-08-07,2024-09-03,35116.73,KIRO-TV
WO-01058,Columbia Health Systems,DNA Agency,2024-08-29,2024-09-03,2024-12-02,43213.75,KREM-TV
WO-01059,Columbia Health Systems,DNA Agency,2024-08-15,2024-09-04,2024-10-01,22343.54,KIRO-TV
WO-01060,Columbia Health Systems,DNA Agency,2024-08-31,2024-09-20,2024-12-19,110733.88,KIRO-TV
WO-01061,Columbia Health Systems,DNA Agency,2024-10-07,2024-10-17,2025-01-15,158602.05,KIRO-TV
WO-01062,Columbia Health Systems,DNA Agency,2024-10-29,2024-11-05,2024-11-11,5004.76,KREM-TV
WO-01063,Columbia Health Systems,DNA Agency,2024-10-19,2024-11-05,2024-11-18,6479.35,KAPP-TV
WO-01064,Columbia Health Systems,DNA Agency,2024-10-20,2024-11-14,2024-12-11,23221.17,KREM-TV
WO-01065,Columbia Health Systems,DNA Agency,2024-11-21,2024-12-11,2024-12-24,20769.61,KIRO-TV
WO-01066,Columbia Health Systems,DNA Agency,2024-12-14,2024-12-22,2025-01-18,19537.66,KIRO-TV
WO-01067,Columbia Health Systems,DNA Agency,2024-11-26,2024-12-12,2024-12-25,5055.04,KREM-TV
WO-01068,Columbia Health Systems,DNA Agency,2024-12-18,2025-01-17,2025-01-23,4648.76,KIRO-TV
WO-01069,Columbia Health Systems,DNA Agency,2024-12-28,2025-01-23,2025-01-29,2721.81,KREM-TV
WO-01070,Columbia Health Systems,DNA Agency,2024-12-14,2024-12-30,2025-03-30,35417.42,KREM-TV
WO-01071,Columbia Health Systems,DNA Agency,2025-02-06,2025-02-17,2025-02-23,9452.71,KIRO-TV
WO-01072,Columbia Health Systems,DNA Agency,2025-01-31,2025-02-03,2025-03-30,29473.39,KIRO-TV
WO-01073,Columbia Health Systems,DNA Agency,2025-02-26,2025-02-27,2025-03-26,11266.11,KREM-TV
WO-01074,Columbia Health Systems,DNA Agency,2024-12-26,2024-12-30,2025-03-30,75739.27,KIRO-TV
WO-01075,Cascade Insurance,Northwest Ad Works,2023-12-07,2023-12-31,2024-01-13,7932.41,KIRO-TV
WO-01076,Cascade Insurance,Northwest Ad Works,2023-11-02,2023-11-16,2024-01-10,5657.62,KXLY-TV
WO-01079,Cascade Insurance,Northwest Ad Works,2023-12-16,2024-01-01,2024-03-31,41256.3,KREM-TV
WO-01080,Cascade Insurance,Northwest Ad Works,2024-01-07,2024-01-20,2024-04-19,33659.05,KHQ-TV
WO-01081,Cascade Insurance,Northwest Ad Works,2023-12-31,2024-01-22,2024-02-04,2591.07,KAPP-TV
WO-01082,Cascade Insurance,Northwest Ad Works,2024-01-28,2024-02-11,2024-05-11,25109.29,KAPP-TV
WO-01083,Cascade Insurance,Northwest Ad Works,2024-02-16,2024-02-28,2024-03-12,5149.43,KXLY-TV
WO-01084,Cascade Insurance,Northwest Ad Works,2024-03-12,2024-03-28,2024-04-10,12783.68,KIRO-TV
WO-01085,Cascade Insurance,Northwest Ad Works,2024-04-07,2024-04-16,2024-06-10,29927.0,KXLY-TV
WO-01086,Cascade Insurance,Northwest Ad Works,2024-03-31,2024-04-18,2024-06-12,23023.92,KXLY-TV
WO-01087,Cascade Insurance,Northwest Ad Works,2024-05-26,2024-05-30,2024-07-24,29154.55,KHQ-TV
WO-01088,Cascade Insurance,Northwest Ad Works,2024-06-03,2024-06-04,2024-09-02,61307.37,KREM-TV
WO-01089,Cascade Insurance,Northwest Ad Works,2024-05-18,2024-06-15,2024-09-13,32263.28,KHQ-TV
WO-01090,Cascade Insurance,Northwest Ad Works,2024-06-20,2024-07-10,2024-08-06,7278.2,KAPP-TV
WO-01091,Cascade Insurance,Northwest Ad Works,2024-07-30,2024-08-03,2024-11-01,44621.49,KREM-TV
WO-01092,Cascade Insurance,Northwest Ad Works,2024-08-10,2024-08-24,2024-09-20,7326.3,KXLY-TV
WO-01093,Cascade Insurance,Northwest Ad Works,2024-08-22,2024-09-10,2024-10-07,37638.74,KIRO-TV
WO-01094,Cascade Insurance,Northwest Ad Works,2024-09-13,2024-09-22,2024-12-21,35164.18,KXLY-TV
WO-01095,Cascade Insurance,Northwest Ad Works,2024-10-06,2024-10-19,2024-11-15,40387.48,KIRO-TV
WO-01096,Cascade Insurance,Northwest Ad Works,2024-10-26,2024-11-04,2025-02-02,60024.34,KHQ-TV
WO-01097,Cascade Insurance,Northwest Ad Works,2024-10-27,2024-11-04,2024-12-29,62628.86,KIRO-TV
WO-01098,Cascade Insurance,Northwest Ad Works,2024-11-08,2024-12-07,2025-03-07,34441.22,KAPP-TV
WO-01099,Cascade Insurance,Northwest Ad Works,2024-11-27,2024-12-15,2024-12-21,5497.43,KREM-TV
WO-01100,Cascade Insurance,Northwest Ad Works,2025-01-01,2025-01-11,2025-01-24,4320.09,KREM-TV
WO-01101,Cascade Insurance,Northwest Ad Works,2025-01-04,2025-02-01,2025-02-28,13940.63,KREM-TV
WO-01102,Cascade Insurance,Northwest Ad Works,2025-01-13,2025-01-31,2025-02-13,6615.8,KREM-TV
WO-01103,Cascade Insurance,Northwest Ad Works,2025-02-24,2025-02-25,2025-03-10,7445.0,KREM-TV
WO-01104,Cascade Insurance,Northwest Ad Works,2025-02-07,2025-03-04,2025-03-17,4633.75,KREM-TV
WO-01105,Northwest Wireless,Spokane Media Group,2023-11-16,2023-12-12,2024-02-05,14475.4,KAPP-TV
WO-01108,Northwest Wireless,Spokane Media Group,2023-10-30,2023-11-08,2024-02-06,29692.84,KREM-TV
WO-01109,Northwest Wireless,Spokane Media Group,2023-12-28,2024-01-13,2024-01-19,3491.64,KXLY-TV
WO-01110,Northwest Wireless,Spokane Media Group,2024-01-24,2024-01-28,2024-02-03,998.12,KHQ-TV
WO-01111,Northwest Wireless,Spokane Media Group,2024-02-07,2024-02-10,2024-02-16,3341.84,KAPP-TV
WO-01112,Northwest Wireless,Spokane Media Group,2024-02-26,2024-03-05,2024-06-03,36940.37,KAPP-TV
WO-01113,Northwest Wireless,Spokane Media Group,2024-02-18,2024-03-13,2024-06-11,18340.6,KAPP-TV
WO-01114,Northwest Wireless,Spokane Media Group,2024-03-13,2024-04-05,2024-05-30,35831.12,KREM-TV
WO-01115,Northwest Wireless,Spokane Media Group,2024-03-25,2024-04-10,2024-04-23,9224.83,KREM-TV
WO-01116,Northwest Wireless,Spokane Media Group,2024-04-07,2024-05-01,2024-07-30,36481.22,KAPP-TV
WO-01117,Northwest Wireless,Spokane Media Group,2024-05-05,2024-05-13,2024-06-09,14951.64,KREM-TV
WO-01118,Northwest Wireless,Spokane Media Group,2024-05-31,2024-06-05,2024-07-02,15407.26,KHQ-TV
WO-01119,Northwest Wireless,Spokane Media Group,2024-06-07,2024-06-19,2024-07-16,13412.76,KHQ-TV
WO-01120,Northwest Wireless,Spokane Media Group,2024-06-22,2024-07-06,2024-10-04,56194.29,KXLY-TV
WO-01121,Northwest Wireless,Spokane Media Group,2024-07-12,2024-07-21,2024-08-17,7969.45,KREM-TV
WO-01122,Northwest Wireless,Spokane Media Group,2024-08-01,2024-08-27,2024-11-25,53137.48,KAPP-TV
WO-01123,Northwest Wireless,Spokane Media Group,2024-08-15,2024-09-01,2024-10-26,26350.61,KXLY-TV
WO-01124,Northwest Wireless,Spokane Media Group,2024-09-16,2024-09-23,2024-11-17,30574.45,KAPP-TV
WO-01125,Northwest Wireless,Spokane Media Group,2024-09-26,2024-10-15,2025-01-13,64929.07,KREM-TV
WO-01126,Northwest Wireless,Spokane Media Group,2024-10-29,2024-10-31,2024-11-13,11446.56,KXLY-TV
WO-01127,Northwest Wireless,Spokane Media Group,2024-10-16,2024-11-11,2024-11-24,7796.1,KREM-TV
WO-01128,Northwest Wireless,Spokane Media Group,2024-11-11,2024-12-01,2025-03-01,33645.12,KHQ-TV
WO-01129,Northwest Wireless,Spokane Media Group,2024-12-15,2024-12-18,2024-12-24,4847.32,KREM-TV
WO-01130,Northwest Wireless,Spokane Media Group,2024-11-23,2024-12-22,2025-03-22,25916.22,KAPP-TV
WO-01131,Northwest Wireless,Spokane Media Group,2024-12-12,2024-12-30,2025-03-30,24577.66,KAPP-TV
WO-01132,Northwest Wireless,Spokane Media Group,2024-12-02,2024-12-30,2025-03-30,55582.55,KREM-TV
WO-01133,Northwest Wireless,Spokane Media Group,2024-12-12,2024-12-30,2025-03-30,49172.41,KXLY-TV
WO-01134,Northwest Wireless,Spokane Media Group,2025-01-28,2025-02-03,2025-03-30,21327.43,KHQ-TV
WO-01135,Evergreen Financial,PB& Seattle,2023-11-02,2023-11-17,2024-02-15,26133.59,KREM-TV
WO-01136,Evergreen Financial,PB& Seattle,2023-11-29,2023-12-25,2024-01-07,3750.43,KXLY-TV
WO-01140,Evergreen Financial,PB& Seattle,2023-12-12,2024-01-08,2024-04-07,94632.68,KIRO-TV
WO-01141,Evergreen Financial,PB& Seattle,2023-12-17,2024-01-10,2024-03-05,18267.58,KREM-TV
WO-01142,Evergreen Financial,PB& Seattle,2024-01-23,2024-01-28,2024-02-24,33413.42,KIRO-TV
WO-01143,Evergreen Financial,PB& Seattle,2024-02-14,2024-03-02,2024-03-08,5572.15,KIRO-TV
WO-01144,Evergreen Financial,PB& Seattle,2024-02-02,2024-02-24,2024-03-22,26241.0,KIRO-TV
WO-01145,Evergreen Financial,PB& Seattle,2024-03-24,2024-04-04,2024-07-03,30855.78,KXLY-TV
WO-01146,Evergreen Financial,PB& Seattle,2024-03-16,2024-03-28,2024-06-26,56707.37,KXLY-TV
WO-01147,Evergreen Financial,PB& Seattle,2024-04-03,2024-04-29,2024-05-05,2829.17,KHQ-TV
WO-01148,Evergreen Financial,PB& Seattle,2024-04-07,2024-05-03,2024-08-01,113477.38,KIRO-TV
WO-01149,Evergreen Financial,PB& Seattle,2024-04-30,2024-05-15,2024-05-28,11458.84,KREM-TV
WO-01150,Evergreen Financial,PB& Seattle,2024-06-11,2024-06-12,2024-08-06,33885.17,KREM-TV
WO-01151,Evergreen Financial,PB& Seattle,2024-06-23,2024-07-06,2024-10-04,30081.42,KXLY-TV
WO-01152,Evergreen Financial,PB& Seattle,2024-06-25,2024-07-09,2024-08-05,10709.96,KXLY-TV
WO-01153,Evergreen Financial,PB& Seattle,2024-07-19,2024-08-11,2024-10-05,76846.47,KIRO-TV
WO-01154,Evergreen Financial,PB& Seattle,2024-07-13,2024-08-12,2024-11-10,156388.79,KIRO-TV
WO-01155,Evergreen Financial,PB& Seattle,2024-08-01,2024-08-25,2024-11-23,45124.72,KHQ-TV
WO-01156,Evergreen Financial,PB& Seattle,2024-08-23,2024-09-22,2024-12-21,169682.42,KIRO-TV
WO-01157,Evergreen Financial,PB& Seattle,2024-09-18,2024-10-07,2024-10-20,15966.92,KREM-TV
WO-01158,Evergreen Financial,PB& Seattle,2024-10-29,2024-10-30,2024-11-05,3648.22,KHQ-TV
WO-01159,Evergreen Financial,PB& Seattle,2024-09-29,2024-10-25,2024-12-19,54314.24,KIRO-TV
WO-01160,Evergreen Financial,PB& Seattle,2024-10-10,2024-11-07,2025-02-05,187412.88,KIRO-TV
WO-01161,Evergreen Financial,PB& Seattle,2024-11-23,2024-11-24,2025-02-22,44686.5,KREM-TV
WO-01162,Evergreen Financial,PB& Seattle,2024-12-13,2025-01-01,2025-01-07,6402.29,KIRO-TV
WO-01163,Evergreen Financial,PB& Seattle,2024-12-21,2024-12-30,2025-03-30,51381.65,KREM-TV
WO-01164,Evergreen Financial,PB& Seattle,2024-12-05,2024-12-30,2025-03-30,56142.1,KIRO-TV
WO-01165,Evergreen Financial,PB& Seattle,2025-01-23,2025-02-18,2025-03-03,5694.71,KHQ-TV
WO-01166,Evergreen Financial,PB& Seattle,2024-12-28,2024-12-30,2025-03-30,37147.54,KHQ-TV
WO-01167,Evergreen Financial,PB& Seattle,2025-02-10,2025-03-03,2025-03-16,16631.43,KIRO-TV
WO-01169,Summit Home Improvement,Inland Media Buyers,2023-12-07,2023-12-30,2024-02-23,24478.22,KIRO-TV
WO-01171,Summit Home Improvement,Inland Media Buyers,2023-12-05,2024-01-01,2024-02-25,15095.06,KHQ-TV
WO-01172,Summit Home Improvement,Inland Media Buyers,2024-01-03,2024-01-15,2024-02-11,14501.8,KIRO-TV
WO-01173,Summit Home Improvement,Inland Media Buyers,2024-01-14,2024-02-13,2024-02-19,2653.9,KREM-TV
WO-01174,Summit Home Improvement,Inland Media Buyers,2024-03-12,2024-03-20,2024-05-14,13606.66,KAPP-TV
WO-01175,Summit Home Improvement,Inland Media Buyers,2024-03-29,2024-04-03,2024-05-28,31179.03,KIRO-TV
WO-01176,Summit Home Improvement,Inland Media Buyers,2024-04-10,2024-04-23,2024-06-17,23711.87,KXLY-TV
WO-01177,Summit Home Improvement,Inland Media Buyers,2024-04-26,2024-05-16,2024-07-10,57076.18,KIRO-TV
WO-01178,Summit Home Improvement,Inland Media Buyers,2024-05-23,2024-06-06,2024-06-19,3892.82,KXLY-TV
WO-01179,Summit Home Improvement,Inland Media Buyers,2024-07-07,2024-07-22,2024-09-15,9706.35,KAPP-TV
WO-01180,Summit Home Improvement,Inland Media Buyers,2024-06-24,2024-07-23,2024-10-21,40737.45,KHQ-TV
WO-01181,Summit Home Improvement,Inland Media Buyers,2024-08-17,2024-08-30,2024-09-26,9485.88,KREM-TV
WO-01182,Summit Home Improvement,Inland Media Buyers,2024-08-25,2024-09-24,2024-10-21,32202.17,KIRO-TV
WO-01183,Summit Home Improvement,Inland Media Buyers,2024-10-17,2024-10-24,2024-11-20,8863.97,KAPP-TV
WO-01184,Summit Home Improvement,Inland Media Buyers,2024-10-05,2024-11-02,2024-12-27,49729.97,KIRO-TV
WO-01185,Summit Home Improvement,Inland Media Buyers,2024-11-15,2024-11-30,2024-12-06,2072.86,KAPP-TV
WO-01186,Summit Home Improvement,Inland Media Buyers,2024-12-16,2024-12-27,2025-01-02,1884.23,KREM-TV
WO-01187,Summit Home Improvement,Inland Media Buyers,2024-12-30,2025-01-19,2025-03-15,46972.53,KIRO-TV
WO-01188,Summit Home Improvement,Inland Media Buyers,2025-01-26,2025-02-03,2025-03-30,40119.98,KIRO-TV
WO-01189,Summit Home Improvement,Inland Media Buyers,2024-12-17,2024-12-30,2025-03-30,49774.76,KIRO-TV
WO-01190,Olympic Furniture,Cascade Media Partners,2023-10-24,2023-11-16,2024-02-14,9347.79,KHQ-TV
WO-01193,Olympic Furniture,Cascade Media Partners,2023-12-29,2024-01-01,2024-02-25,46042.46,KIRO-TV
WO-01194,Olympic Furniture,Cascade Media Partners,2024-01-08,2024-01-11,2024-04-10,16934.53,KHQ-TV
WO-01195,Olympic Furniture,Cascade Media Partners,2024-02-11,2024-02-17,2024-03-15,9462.46,KIRO-TV
WO-01196,Olympic Furniture,Cascade Media Partners,2024-02-20,2024-03-19,2024-03-25,3913.3,KIRO-TV
WO-01197,Olympic Furniture,Cascade Media Partners,2024-03-16,2024-04-11,2024-04-17,1099.85,KHQ-TV
WO-01198,Olympic Furniture,Cascade Media Partners,2024-04-11,2024-04-19,2024-07-18,69101.01,KIRO-TV
WO-01199,Olympic Furniture,Cascade Media Partners,2024-05-12,2024-05-23,2024-07-17,37767.13,KIRO-TV
WO-01200,Olympic Furniture,Cascade Media Partners,2024-06-16,2024-06-30,2024-07-06,3724.16,KHQ-TV
WO-01201,Olympic Furniture,Cascade Media Partners,2024-06-27,2024-07-18,2024-10-16,99228.91,KIRO-TV
WO-01202,Olympic Furniture,Cascade Media Partners,2024-07-03,2024-07-31,2024-10-29,39820.28,KXLY-TV
WO-01203,Olympic Furniture,Cascade Media Partners,2024-08-25,2024-09-01,2024-10-26,51227.29,KIRO-TV
WO-01204,Olympic Furniture,Cascade Media Partners,2024-08-19,2024-09-10,2024-11-04,28972.81,KAPP-TV
WO-01205,Olympic Furniture,Cascade Media Partners,2024-09-26,2024-10-26,2024-11-08,8255.87,KHQ-TV
WO-01206,Olympic Furniture,Cascade Media Partners,2024-10-23,2024-11-17,2024-11-30,5794.46,KAPP-TV
WO-01207,Olympic Furniture,Cascade Media Partners,2024-11-17,2024-12-01,2025-03-01,61436.6,KIRO-TV
WO-01208,Olympic Furniture,Cascade Media Partners,2024-11-17,2024-12-13,2025-01-09,22620.64,KIRO-TV
WO-01209,Olympic Furniture,Cascade Media Partners,2024-12-15,2024-12-30,2025-03-30,42497.54,KIRO-TV
WO-01210,Olympic Furniture,Cascade Media Partners,2025-01-25,2025-02-02,2025-03-01,27914.32,KIRO-TV
WO-01211,Olympic Furniture,Cascade Media Partners,2024-12-23,2024-12-30,2025-03-30,62766.12,KIRO-TV
WO-01213,Rainier Automotive,DNA Agency,2023-11-11,2023-11-28,2024-02-26,25421.93,KXLY-TV
WO-01214,Rainier Automotive,DNA Agency,2023-12-18,2024-01-10,2024-03-05,18104.74,KXLY-TV
WO-01215,Rainier Automotive,DNA Agency,2024-01-04,2024-01-27,2024-04-26,18279.83,KHQ-TV
WO-01216,Rainier Automotive,DNA Agency,2024-02-17,2024-03-14,2024-05-08,24992.78,KREM-TV
WO-01217,Rainier Automotive,DNA Agency,2024-03-19,2024-04-09,2024-06-03,17977.77,KREM-TV
WO-01218,Rainier Automotive,DNA Agency,2024-04-01,2024-04-29,2024-07-28,49715.35,KREM-TV
WO-01219,Rainier Automotive,DNA Agency,2024-05-29,2024-06-10,2024-06-23,8200.5,KREM-TV
WO-01220,Rainier Automotive,DNA Agency,2024-06-25,2024-07-11,2024-08-07,18419.59,KREM-TV
WO-01221,Rainier Automotive,DNA Agency,2024-06-28,2024-07-28,2024-08-03,1003.17,KHQ-TV
WO-01222,Rainier Automotive,DNA Agency,2024-08-21,2024-08-27,2024-11-25,58627.37,KREM-TV
WO-01223,Rainier Automotive,DNA Agency,2024-09-13,2024-09-21,2024-10-18,16974.68,KREM-TV
WO-01224,Rainier Automotive,DNA Agency,2024-10-22,2024-11-05,2024-11-11,2482.99,KXLY-TV
WO-01225,Rainier Automotive,DNA Agency,2024-11-15,2024-12-02,2024-12-15,7633.96,KREM-TV
WO-01226,Rainier Automotive,DNA Agency,2024-11-28,2024-12-20,2024-12-26,3737.44,KHQ-TV
WO-01227,Rainier Automotive,DNA Agency,2024-12-05,2024-12-30,2025-03-30,34855.59,KREM-TV
WO-01228,Rainier Automotive,DNA Agency,2025-01-11,2025-02-03,2025-03-30,17771.97,KREM-TV
WO-01229,Puget Sound Energy,Pacific Rim Media,2023-11-12,2023-12-07,2024-01-31,13084.81,KREM-TV
WO-01230,Puget Sound Energy,Pacific Rim Media,2023-12-08,2023-12-28,2024-01-24,23147.07,KIRO-TV
WO-01231,Puget Sound Energy,Pacific Rim Media,2023-12-25,2023-12-30,2024-01-05,646.04,KAPP-TV
WO-01232,Puget Sound Energy,Pacific Rim Media,2023-12-23,2024-01-15,2024-02-11,19687.54,KIRO-TV
WO-01233,Puget Sound Energy,Pacific Rim Media,2024-01-03,2024-01-12,2024-01-18,1164.86,KHQ-TV
WO-01234,Puget Sound Energy,Pacific Rim Media,2024-02-13,2024-02-28,2024-03-05,7857.02,KIRO-TV
WO-01235,Puget Sound Energy,Pacific Rim Media,2024-02-27,2024-03-08,2024-06-06,15131.49,KAPP-TV
WO-01236,Puget Sound Energy,Pacific Rim Media,2024-02-25,2024-03-20,2024-06-18,109651.0,KIRO-TV
WO-01237,Puget Sound Energy,Pacific Rim Media,2024-04-08,2024-04-25,2024-05-08,6377.77,KREM-TV
WO-01238,Puget Sound Energy,Pacific Rim Media,2024-04-19,2024-05-14,2024-08-12,19847.76,KAPP-TV
WO-01239,Puget Sound Energy,Pacific Rim Media,2024-05-06,2024-06-04,2024-06-10,2901.4,KREM-TV
WO-01240,Puget Sound Energy,Pacific Rim Media,2024-06-23,2024-07-14,2024-07-20,3930.24,KREM-TV
WO-01241,Puget Sound Energy,Pacific Rim Media,2024-07-30,2024-07-31,2024-09-24,57662.08,KIRO-TV
WO-01242,Puget Sound Energy,Pacific Rim Media,2024-07-18,2024-08-12,2024-11-10,79164.4,KIRO-TV
WO-01243,Puget Sound Energy,Pacific Rim Media,2024-08-26,2024-08-30,2024-11-28,39160.25,KREM-TV
WO-01244,Puget Sound Energy,Pacific Rim Media,2024-09-27,2024-09-28,2024-11-22,24462.12,KAPP-TV
WO-01245,Puget Sound Energy,Pacific Rim Media,2024-10-11,2024-10-27,2024-11-23,43928.33,KIRO-TV
WO-01246,Puget Sound Energy,Pacific Rim Media,2024-10-24,2024-11-20,2024-11-26,2648.67,KHQ-TV
WO-01247,Puget Sound Energy,Pacific Rim Media,2024-11-16,2024-11-29,2024-12-26,31289.37,KIRO-TV
WO-01248,Puget Sound Energy,Pacific Rim Media,2024-12-04,2024-12-30,2025-03-30,16781.98,KHQ-TV
WO-01249,Puget Sound Energy,Pacific Rim Media,2024-12-16,2024-12-30,2025-03-30,21423.0,KHQ-TV
WO-01250,Puget Sound Energy,Pacific Rim Media,2025-01-18,2025-02-14,2025-03-13,6464.22,KHQ-TV
WO-01251,Puget Sound Energy,Pacific Rim Media,2024-12-09,2024-12-30,2025-03-30,34968.94,KREM-TV
WO-01253,Glacier Pharmaceuticals,Spokane Media Group,2023-11-11,2023-12-04,2024-03-03,17554.31,KHQ-TV
WO-01254,Glacier Pharmaceuticals,Spokane Media Group,2023-10-18,2023-11-15,2024-01-09,8851.45,KIRO-TV
